axiom,family,module,origin,primary_kernel,shape_class,arith_domain,primitive_steps,peak_bignum_bits,max_nat_literal_digits,note
AnalyticNT.ChebyshevPsi.checkAll_1e7_sharp._native.native_decide.ax_1_1,AnalyticNT.Chebyshev,AnalyticNT.Chebyshev.PsiSharpCertBelow1e7,AnalyticNT.ChebyshevPsi.checkAll_1e7_sharp,AnalyticNT.ChebyshevPsi.checkAllPsiLeMul,linear-fold-sieve,Nat (2^40 fixed point),10000000,,8,IsPrimePow + minFac per step
AnalyticNT.ChebyshevPsi.checkAll_psiSubTheta_1e6._native.native_decide.ax_1_1,AnalyticNT.Chebyshev,AnalyticNT.Chebyshev.PsiSubThetaCertBelow1e6,AnalyticNT.ChebyshevPsi.checkAll_psiSubTheta_1e6,AnalyticNT.ChebyshevPsi.checkAllPsiSubThetaLeSqrt,linear-fold-sieve,Nat (2^40 fixed point),1000000,,7,IsPrimePow + minFac per step
AnalyticNT.ChebyshevPsi.checkFrom_2e6_4e6_rr14._native.native_decide.ax_1_1,AnalyticNT.Chebyshev,AnalyticNT.Chebyshev.PsiRR14Cert,AnalyticNT.ChebyshevPsi.checkFrom_2e6_4e6_rr14,AnalyticNT.ChebyshevPsi.checkPsiLeMulFrom,linear-fold-sieve,Nat (2^40 fixed point),4000000,,7,plus a `lower`-length seed sum
AnalyticNT.LargeSieve.ceU_prime_fx_le._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareCEUpperCerts,AnalyticNT.LargeSieve.ceU_prime_fx_le,AnalyticNT.LargeSieve.ceUPrimeAux,linear-fold-rat,Rat with p^48,200000,,20,"exact fuel from the atom: 200,000 iterations"
AnalyticNT.LargeSieve.ce_prime_fx_ge._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareCECerts,AnalyticNT.LargeSieve.ce_prime_fx_ge,AnalyticNT.LargeSieve.cePrimeAux,linear-fold-rat,Rat with p^48,25000000,,20,"exact fuel from the atom: 25,000,000 iterations"
AnalyticNT.LargeSieve.g1215_cert._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.g1215_cert,AnalyticNT.LargeSieve.gFold1215,linear-fold-sieve,Nat + Rat Pade log (m^16),10000000,,2,"exact fuel from the atom: 10,000,000 iterations"
AnalyticNT.LargeSieve.gFold_cert._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.gFold_cert,AnalyticNT.LargeSieve.gFold,linear-fold-sieve,Nat + one Rat compare/step,99999,,5,"exact fuel from the atom: 99,999 iterations"
AnalyticNT.LargeSieve.gSum_1e5_le._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.gSum_1e5_le,AnalyticNT.LargeSieve.gSum,linear-fold-sieve,Nat,100000,,15,"exact fuel from the atom: 100,000 iterations"
AnalyticNT.LargeSieve.uIv7_cert_0._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.uIv7_cert_0,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,9487,,12,"exact fuel from the atom: 9,487 iterations"
AnalyticNT.LargeSieve.uIv7_cert_1._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.uIv7_cert_1,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,37947,,12,"exact fuel from the atom: 37,947 iterations"
AnalyticNT.LargeSieve.uIv7_cert_2._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.uIv7_cert_2,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,151789,,11,"exact fuel from the atom: 151,789 iterations"
AnalyticNT.LargeSieve.uIv7_cert_3._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.uIv7_cert_3,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,607158,,11,"exact fuel from the atom: 607,158 iterations"
AnalyticNT.LargeSieve.uIv7_cert_4._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.uIv7_cert_4,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,2428629,,10,"exact fuel from the atom: 2,428,629 iterations"
AnalyticNT.LargeSieve.uIv7_cert_5._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.uIv7_cert_5,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,6761828,,10,"exact fuel from the atom: 6,761,828 iterations"
AnalyticNT.LargeSieve.uIv_cert_0._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.uIv_cert_0,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,316,,16,exact fuel from the atom: 316 iterations
AnalyticNT.LargeSieve.uIv_cert_1._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.uIv_cert_1,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,948,,13,exact fuel from the atom: 948 iterations
AnalyticNT.LargeSieve.uIv_cert_2._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.uIv_cert_2,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,3795,,13,"exact fuel from the atom: 3,795 iterations"
AnalyticNT.LargeSieve.uIv_cert_3._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.uIv_cert_3,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,15179,,12,"exact fuel from the atom: 15,179 iterations"
AnalyticNT.LargeSieve.uIv_cert_4._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.uIv_cert_4,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,60716,,12,"exact fuel from the atom: 60,716 iterations"
AnalyticNT.LargeSieve.uIv_cert_5._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.uIv_cert_5,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,242863,,11,"exact fuel from the atom: 242,863 iterations"
AnalyticNT.LargeSieve.uIv_cert_6._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.uIv_cert_6,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,676183,,11,"exact fuel from the atom: 676,183 iterations"
Math.Problems.TernaryGoldbach.Eq1315HighRepairPrefixCost.prefixCostCertificate_holds._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1315HighRepairPrefixCost,Math.Problems.TernaryGoldbach.Eq1315HighRepairPrefixCost.prefixCostCertificate_holds,IntervalArith.RatInterval.adaptiveUpper,bisection-tree,Rat/RatInterval,16,,2,"pruned binary bisection, worst case 2^(fuel+1)-1 leaf evaluations"
Math.Problems.TernaryGoldbach.Eq1315HighRepairPrefixCost.prefixCostSafe_holds._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1315HighRepairPrefixCost,Math.Problems.TernaryGoldbach.Eq1315HighRepairPrefixCost.prefixCostSafe_holds,(named constants only),fixed-expression,Rat/RatInterval,1,,0,constant-depth comparison of named constants
Math.Problems.TernaryGoldbach.HEnvFloorCert.seg_certs._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314HEnvelopeFloorProof,Math.Problems.TernaryGoldbach.HEnvFloorCert.seg_certs,Math.Problems.TernaryGoldbach.HEnvFloorCert.segProp,transcendental-enclosure,Rat (exact),97888,100000,0,"92 segments x (log prec 40 + 3 exp prec 30, one with D=8 => 256-fold interval pow)"
Math.Problems.TernaryGoldbach.deficitCertAcc_ge._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.Certs,Math.Problems.TernaryGoldbach.Certs.SingularSeriesDeficitProdTwoMillion,Math.Problems.TernaryGoldbach.deficitCertAcc_ge,Math.Problems.TernaryGoldbach.deficitCertAcc,linear-fold-sieve,Nat (2^64),2000000,,20,2*10^6 Nat.Prime decisions
Math.Problems.TernaryGoldbach.eq1314LPart_antitone._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314LPart_antitone,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",33,1993,3,"199-term series, ~9 halving steps, argument ~3 decimal digits"
Math.Problems.TernaryGoldbach.eq1314LPart_le_APart_sharp._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314LPart_le_APart_sharp,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",50,664,8,"24-term series, ~26 halving steps, argument ~8 decimal digits"
